Rank,Player,Team,RUSHING_ATT,RUSHING_YDS,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC,RECEIVING_TGT,RECEIVING_YDS,RECEIVING_Y/R,RECEIVING_TD,MISC_FL,MISC_G,MISC_FPTS,MISC_FPTS/G,MISC_OWN
99,Cameron Artis-Payne ,FA,19,69,3.6,15,0,1,3,4,15,5.0,0,0,9,17.4,1.9,0.0%
100,Darrel Williams ,KC,13,44,3.4,8,0,0,3,3,27,9.0,1,0,4,16.1,4.0,1.4%
101,Brian Hill ,ATL,20,157,7.9,60,3,0,1,2,9,9.0,0,1,10,15.6,1.6,1.6%
102,Elijhaa Penny ,NYG,7,25,3.6,8,0,0,8,9,50,6.3,0,0,14,15.5,1.1,0.1%
103,Dwayne Washington ,NO,27,154,5.7,28,3,0,0,0,0,0.0,0,0,13,15.4,1.2,0.1%
104,Alex Armah ,CAR,9,15,1.7,4,0,2,1,1,5,5.0,0,0,16,15.0,0.9,0.0%
105,Stevan Ridley ,FA,29,80,2.8,12,0,1,3,4,18,6.0,0,2,10,14.8,1.5,0.0%
106,Devonta Freeman ,FA,14,68,4.9,20,2,0,5,7,23,4.6,0,0,2,14.1,7.1,39.4%
107,Keith Ford ,FA,21,79,3.8,11,0,0,3,5,21,7.0,0,0,2,13.0,6.5,0.0%
108,Mark Walton ,FA,14,34,2.4,10,0,0,5,8,41,8.2,0,0,14,12.5,0.9,1.1%
109,John Kelly ,LAR,27,74,2.7,7,0,0,2,3,27,13.5,0,0,4,12.1,3.0,0.2%
110,Charcandrick West ,FA,2,-1,-0.5,1,0,0,2,3,37,18.5,1,0,3,11.6,3.9,0.0%
111,DeAndre Washington ,KC,30,115,3.8,13,0,0,1,1,9,9.0,0,1,10,11.4,1.1,2.2%
112,T.J. Logan ,TB,2,2,1.0,5,0,0,7,7,37,5.3,0,0,10,10.9,1.1,0.1%
113,D'Onta Foreman ,FA,7,-1,-0.1,2,0,0,2,2,28,14.0,1,0,1,10.7,10.7,0.1%
114,Tommy Bohanon ,FA,1,0,0.0,0,0,0,6,9,41,6.8,0,0,16,10.1,0.6,0.0%
115,Patrick DiMarco ,BUF,1,9,9.0,9,0,0,3,4,62,20.7,0,0,16,10.1,0.6,0.1%
116,Detrez Newsome ,FA,11,49,4.5,16,0,0,2,2,19,9.5,0,0,9,8.8,1.0,0.0%
117,Kenjon Barner ,FA,19,71,3.7,11,0,0,1,1,3,3.0,0,0,9,8.4,0.9,0.0%
118,Roosevelt Nix ,IND,1,4,4.0,4,0,0,4,6,38,9.5,0,0,16,8.2,0.5,0.0%
119,Byron Marshall ,FA,3,9,3.0,4,0,0,4,6,30,7.5,0,0,6,7.9,1.3,0.0%
120,Keith Smith ,ATL,1,0,0.0,0,0,0,5,7,23,4.6,0,0,16,7.3,0.5,0.0%
121,Ryan Hewitt ,FA,0,0,0.0,0,0,0,1,2,1,1.0,1,0,12,7.1,0.6,0.0%
122,Roc Thomas ,FA,8,30,3.8,23,1,0,2,4,21,10.5,0,0,5,7.1,1.4,0.0%
123,Mike Boone ,MIN,11,47,4.3,20,1,0,2,3,1,0.5,0,0,8,6.8,0.9,2.3%
124,Samaje Perine ,CIN,8,32,4.0,11,0,0,3,4,5,1.7,0,0,5,6.7,1.3,0.1%
125,Tyler Ervin ,GB,0,0,0.0,0,0,0,3,4,35,11.7,0,0,9,6.5,0.7,0.0%
126,Shaun Wilson ,TEN,6,29,4.8,9,0,0,3,5,5,1.7,0,0,5,6.4,1.3,0.0%
127,Tre Madden ,FA,3,3,1.0,2,0,0,2,3,35,17.5,0,0,14,5.8,0.4,0.0%
128,C.J. Prosise ,FA,1,-3,-3.0,0,0,0,3,3,22,7.3,0,0,5,4.9,1.0,0.1%
129,Mike Gillislee ,FA,16,43,2.7,5,0,0,1,1,9,9.0,0,1,4,4.2,1.1,0.0%
130,Jeremy Hill ,FA,4,25,6.3,11,0,0,1,1,6,6.0,0,0,1,4.1,4.1,0.0%
131,De'Lance Turner ,FA,1,4,4.0,4,0,0,2,2,17,8.5,0,0,4,4.1,1.0,0.0%
132,Ricky Ortiz ,NO,0,0,0.0,0,0,0,3,4,11,3.7,0,0,12,4.1,0.3,0.0%
133,Derrick Coleman ,FA,2,3,1.5,2,0,0,2,3,17,8.5,0,0,16,4.0,0.3,0.0%
134,Ameer Abdullah ,MIN,1,1,1.0,1,0,0,3,4,28,9.3,0,1,10,3.9,0.4,0.2%
135,Benny Cunningham ,FA,11,20,1.8,6,0,0,1,2,9,9.0,0,0,15,3.9,0.3,0.0%
136,David Williams ,FA,8,36,4.5,15,0,0,0,0,0,0.0,0,0,6,3.6,0.6,0.0%
137,Jamaal Charles ,FA,6,7,1.2,5,0,0,2,3,7,3.5,0,0,2,3.4,1.7,0.0%
138,Jamize Olawale ,DAL,0,0,0.0,0,0,0,2,4,13,6.5,0,0,16,3.3,0.2,0.1%
139,Travaris Cadet ,FA,11,17,1.5,5,0,0,1,1,5,5.0,0,0,1,3.2,3.2,0.0%
140,Jeremy Langford ,FA,9,25,2.8,7,0,0,0,0,0,0.0,0,0,1,2.5,2.5,0.0%
141,Derek Watt ,PIT,4,11,2.8,8,0,0,1,1,2,2.0,0,0,16,2.3,0.1,0.2%
142,Justin Davis ,FA,2,19,9.5,19,0,0,0,0,0,0.0,0,0,11,1.9,0.2,0.0%
143,Jonathan Stewart ,FA,6,17,2.8,5,0,0,0,0,0,0.0,0,0,3,1.7,0.6,0.0%
144,Michael Burton ,NO,0,0,0.0,0,0,0,1,1,6,6.0,0,0,8,1.6,0.2,0.0%
145,Darius Jackson ,IND,6,16,2.7,4,0,0,0,1,0,0.0,0,0,4,1.6,0.4,0.0%
146,David Fluellen ,FA,4,16,4.0,13,0,0,0,0,0,0.0,0,0,7,1.6,0.2,0.0%
147,Brandon Wilds ,FA,6,15,2.5,5,0,0,0,0,0,0.0,0,0,3,1.5,0.5,0.0%
148,Dan Vitale ,NE,0,0,0.0,0,0,0,1,2,2,2.0,0,0,5,1.2,0.2,0.0%
149,Jonathan Williams ,FA,3,0,0.0,1,0,0,1,1,1,1.0,0,0,3,1.1,0.4,0.6%
150,Christine Michael ,FA,2,9,4.5,8,0,0,0,0,0,0.0,0,0,1,0.9,0.9,0.0%
151,Robert Kelley ,FA,4,8,2.0,6,0,0,0,0,0,0.0,0,0,2,0.8,0.4,0.0%
152,J.D. McKissic ,WAS,3,8,2.7,6,0,0,0,1,0,0.0,0,0,5,0.8,0.2,0.8%
153,Jeremy McNichols ,FA,2,4,2.0,7,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%
154,Robert Turbin ,FA,4,10,2.5,5,0,0,1,2,3,3.0,0,1,2,0.3,0.2,0.0%
155,William Stanback ,LV,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
156,Brandon Wilson ,CIN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,16,0.0,0.0,19.0%
157,Dare Ogunbowale ,TB,0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,2.4%
158,Anthony Kukwa ,HOU,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
159,Khalfani Muhammad ,DEN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
160,Matthew Dayes ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,7,0.0,0.0,0.0%
161,Cethan Carter ,CIN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
162,Thomas Rawls ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%
163,Bralon Addison ,MIN,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
164,Joe Williams ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0.0,0.0,0.0%
165,D.J. Foster ,ARI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
166,Josh Ferguson ,WAS,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
167,Tra Carson ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,6,0.0,0.0,0.0%
168,Shane Smith ,FA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
169,Patrick Ricard ,BAL,0,0,0.0,0,0,0,0,0,0,0.0,0,0,10,0.0,0.0,0.1%
170,Xavier Jones ,LAR,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
171,Tavien Feaster ,JAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
172,J.J. Taylor ,NE,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
173,Joshua Kelley ,LAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.1%
174,Connor Slomka ,JAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
175,Salvon Ahmed ,SF,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
176,Darius Anderson ,DAL,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
177,Rodney Smith ,CAR,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
178,Tony Jones Jr. ,NO,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
179,Darius Bradwell ,LAC,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
180,Benny LeMay ,CLE,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
181,Adrian Killins Jr. ,PHI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
182,DeeJay Dallas ,SEA,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,3.2%
183,Patrick Taylor Jr. ,GB,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
184,Artavis Pierce ,CHI,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
185,Scottie Phillips ,HOU,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
186,James Gilbert ,LAR,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
